epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13112,1.03882,2.72423,1.2897,0.60895,0.8662,0.8878,0.62034,1.39371,1.28775,1.2462,0,0,0
2,2.62246,1.24861,2.96403,1.61826,0.58608,0.88435,0.88774,0.61686,1.40393,1.30592,1.2536,1.1311e-06,1.1311e-06,1.1311e-06
3,3.1142,1.30423,2.77289,1.56652,0.56739,0.88144,0.88809,0.60737,1.42768,1.32791,1.26251,2.14438e-06,2.14438e-06,2.14438e-06
4,3.67081,1.04559,2.67018,1.28638,0.54877,0.83333,0.87417,0.58622,1.45218,1.36427,1.26817,3.03986e-06,3.03986e-06,3.03986e-06
5,4.31768,1.12316,2.97942,1.51739,0.84734,0.57669,0.87403,0.58241,1.46664,1.41086,1.28257,3.81752e-06,3.81752e-06,3.81752e-06
6,4.98195,1.02669,2.17879,1.2996,0.82909,0.56667,0.87225,0.58119,1.48598,1.47995,1.30126,4.47737e-06,4.47737e-06,4.47737e-06
7,5.60128,1.51052,3.68654,1.82484,0.83695,0.58012,0.88819,0.57594,1.48885,1.55053,1.31022,5.01942e-06,5.01942e-06,5.01942e-06
8,6.25337,1.31619,3.25954,1.75872,0.80525,0.56667,0.88603,0.57225,1.51257,1.61766,1.3283,5.44365e-06,5.44365e-06,5.44365e-06
9,6.88139,1.49754,2.80848,1.60577,0.80893,0.58333,0.76117,0.56002,1.54567,1.66706,1.35652,5.75008e-06,5.75008e-06,5.75008e-06
10,7.47518,1.29352,2.57783,1.57634,0.76905,0.58333,0.7431,0.56717,1.54837,1.71175,1.35495,5.9387e-06,5.9387e-06,5.9387e-06
11,13.8085,0.97037,1.73676,1.35,0.7754,0.58333,0.74306,0.52573,1.55475,1.74052,1.35406,6.0095e-06,6.0095e-06,6.0095e-06
12,14.6661,0.74794,1.33279,1.12886,0.78413,0.58333,0.7431,0.52581,1.5646,1.77653,1.36179,5.9625e-06,5.9625e-06,5.9625e-06
13,15.2717,1.05647,2.37749,1.245,0.80794,0.58108,0.74322,0.54194,1.54872,1.71159,1.34721,5.79768e-06,5.79768e-06,5.79768e-06
14,15.9361,1.02864,1.7167,1.29064,0.8079,0.5826,0.7428,0.5402,1.55364,1.7396,1.34665,5.51505e-06,5.51505e-06,5.51505e-06
15,16.6717,0.71135,1.4409,1.08958,0.791,0.58333,0.74262,0.5398,1.54994,1.76586,1.34737,5.11462e-06,5.11462e-06,5.11462e-06
16,17.2877,1.06627,2.41378,1.38851,0.78039,0.58333,0.74262,0.53783,1.54554,1.78745,1.34594,4.59638e-06,4.59638e-06,4.59638e-06
17,17.9678,0.72826,2.05315,1.20933,0.74069,0.58333,0.74297,0.5683,1.55269,1.80612,1.3443,3.96032e-06,3.96032e-06,3.96032e-06
18,18.4842,1.11228,3.01051,1.30763,0.74069,0.58333,0.74297,0.5683,1.55269,1.80612,1.3443,3.20646e-06,3.20646e-06,3.20646e-06
19,19.038,1.03044,1.56107,1.28204,0.75164,0.58333,0.74083,0.57049,1.55308,1.81514,1.35119,2.33478e-06,2.33478e-06,2.33478e-06
20,19.5968,1.06788,1.98179,1.37904,0.75164,0.58333,0.74083,0.57049,1.55308,1.81514,1.35119,1.3453e-06,1.3453e-06,1.3453e-06
